rank_by_latest_stars,repository,url,primary_language,latest_license,first_seen_week,last_seen_week,weeks_observed,latest_stars,first_observed_stars,observed_star_change,max_forks_observed,seen_in_trending,seen_in_new,top_topics
431,mixidifussion/stable-diffusion-web-ui-free,https://github.com/mixidifussion/stable-diffusion-web-ui-free,TypeScript,MIT,2026-W28,2026-W28,1,99,99,0,0,false,true,a1111-stable-diffusion-webui|diffusion-image-detection|diffusion-model|diffusion-models|multidiffusion|sdxl|stable-diffusion|stable-diffusion-2026
432,NulightJens/humanizer-stack,https://github.com/NulightJens/humanizer-stack,Python,NOASSERTION,2026-W31,2026-W31,1,99,99,0,6,false,true,ai-detection|ai-writing|anthropic|claude-code|claude-skills|humanizer|writing-tools
433,stormneonnightraven4640692/DeepFake-AI-RealTime,https://github.com/stormneonnightraven4640692/DeepFake-AI-RealTime,C#,Apache-2.0,2026-W23,2026-W23,1,99,99,0,0,false,true,ai-deep-fake|audio-deepfake-detection|deep-ai|deep-fake-ai|deepfake|deepfake-ai|deepfake-detection|deepfake-generation
434,Somnusochi/VLM-AutoYOLO,https://github.com/Somnusochi/VLM-AutoYOLO,Python,AGPL-3.0,2026-W24,2026-W24,1,98,98,0,8,false,true,auto-labeling|computer-vision|data-annotation|deep-learning|fastapi|locate-anything|machine-learning|nvidia
435,Aevella/polaris-local-first,https://github.com/Aevella/polaris-local-first,TypeScript,AGPL-3.0,2026-W28,2026-W28,1,97,97,0,29,false,true,
436,johnbean393/KeyType,https://github.com/johnbean393/KeyType,Swift,MIT,2026-W23,2026-W23,1,97,97,0,3,false,true,ai|ai-autocomplete|autocomplete|completions|cotabby|cotypist|gemma4|llm
437,RyensX/OpenCodex,https://github.com/RyensX/OpenCodex,TypeScript,AGPL-3.0,2026-W21,2026-W21,1,97,97,0,5,false,true,
438,techjarves/Portable-Diffusion,https://github.com/techjarves/Portable-Diffusion,JavaScript,MIT,2026-W26,2026-W26,1,97,97,0,26,false,true,image-generation|offline-ai|stable-diffusion-gui|text-to-image
439,wanshuiyin/ARIS-in-AI-Offer,https://github.com/wanshuiyin/ARIS-in-AI-Offer,Python,MIT,2026-W22,2026-W22,1,97,97,0,6,false,true,ai-interview|aris|autumn-recruiting|cheatsheet|chinese|claude-code|deep-learning|diffusion
440,alicankiraz1/CodexQB,https://github.com/alicankiraz1/CodexQB,Python,MIT,2026-W25,2026-W25,1,96,96,0,10,false,true,
441,Dhravya/burrow,https://github.com/Dhravya/burrow,TypeScript,MIT,2026-W29,2026-W30,2,96,65,31,3,false,true,
442,kingbootoshi/directional-prompting,https://github.com/kingbootoshi/directional-prompting,,MIT,2026-W22,2026-W22,1,96,96,0,8,false,true,
443,berkayyytech/vortex,https://github.com/berkayyytech/vortex,Go,MIT,2026-W29,2026-W29,1,95,95,0,8,false,true,management|terminal-based|utilities
444,u7079256/paperjury,https://github.com/u7079256/paperjury,JavaScript,MIT,2026-W24,2026-W24,1,95,95,0,10,false,true,academic-writing|ai-agents|claude-code|latex|llm-agents|paper-review|peer-review|research-tool
445,OpenBMB/MiniCPM-Robot,https://github.com/OpenBMB/MiniCPM-Robot,Python,Apache-2.0,2026-W30,2026-W30,1,94,94,0,7,false,true,
446,workos/auth.md,https://github.com/workos/auth.md,TypeScript,MIT,2026-W22,2026-W22,1,94,94,0,3,false,true,
447,a2328275243/mempalace-evolve,https://github.com/a2328275243/mempalace-evolve,Python,MIT,2026-W23,2026-W23,1,93,93,0,4,false,true,
448,AIchovy/vibe-observer,https://github.com/AIchovy/vibe-observer,Rust,MIT,2026-W21,2026-W21,1,93,93,0,1,false,true,
449,blader/arbitrage,https://github.com/blader/arbitrage,,MIT,2026-W25,2026-W25,1,93,93,0,0,false,true,
